question,respostas,A2,A3,A4,A5,B4,B6,B8,B9,B10,B11,B12,C1,C2,C3,C4,C8,D4,E1,E2,G4,G5,H1
1361,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
1362,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1
1363,35,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
1364,72,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1
1365,68,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
1366,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
1367,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1368,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1369,30,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1370,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
1371,35,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1372,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1379,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
1390,89,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
1391,70,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,24,0,1
1392,97,0,4,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,31,0,6
1393,68,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,38,0,1
1394,73,0,4,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,39,0,1
1395,50,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1
1396,102,0,1,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,38,0,5
1397,53,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
1398,80,0,2,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,35,0,1
1399,52,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
1400,39,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1401,44,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1402,41,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
1403,42,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1404,38,0,8,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2
1405,33,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1
1406,28,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1407,41,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
1408,44,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2
1409,37,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1
1481,19,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,2,0,14,0,1
1483,17,0,0,0,0,17,0,9,1,0,0,0,0,0,0,0,0,0,1,0,9,0,1
1522,25,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
1523,38,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0
1524,27,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1525,25,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
1526,27,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0
1527,28,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
1528,25,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1529,22,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
1530,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
1531,54,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0,1
1532,40,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
1533,38,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
